class,label
https://w3id.org/platoon/EnergyEvaluation,"""Energy  Evaluation""@en"
https://w3id.org/platoon/EnergyProductionEvaluation,"""Energy Production Evaluation""@en"
https://w3id.org/platoon/EnergyProductionProperty,"""Energy Production Property""@en"
https://w3id.org/platoon/EnergyProperty,"""Energy  Property""@en"
https://w3id.org/platoon/ForecastOfCoolingElectricEnergyConsumptionProperty,"""Forecast Of Cooling Electric Energy Consumption Property""@en"
https://w3id.org/platoon/ForecastOfElectricEnergyLoadProperty,"""Forecast Of Electric Energy Load Property""@en"
https://w3id.org/platoon/ForecastOfElectricEnergyProperty,"""Forecast Of Electric Energy  Property""@en"
https://w3id.org/platoon/ForecastOfElectricPowerProperty,"""Forecast Of Photovoltaic Electric Power Property""@en"
https://w3id.org/platoon/ForecastOfEnergyConsumptionProperty,"""Forecast Of Energy Consumption Property""@en"
https://w3id.org/platoon/ForecastOfEnergyProperty,"""Forecast Of Energy Property""@en"
https://w3id.org/platoon/ForecastOfHeatingElectricEnergyConsumptionProperty,"""Forecast Of Heating Electric Energy Consumption Property""@en"
https://w3id.org/platoon/ForecastOfPhotovoltaicEnergyProductionProperty,"""Forecast Of Photovoltaic Energy Production Property""@en"
https://w3id.org/platoon/ForecasterOfElectricEnergyLoadProperty,"""Forecaster Of Energy Load Property""@en"
https://w3id.org/platoon/ForecasterOfElectricEnergyProperty,"""Forecaster Of Energy  Property""@en"
https://w3id.org/platoon/ForecastingOfElectricEnergyLoadProperty,"""Forecasting Of Electric Energy Load Property""@en"
https://w3id.org/platoon/ForecastingOfElectricEnergyProperty,"""Forecasting Of Electric Energy  Property""@en"
https://w3id.org/platoon/GasEnergyConsumptionEvaluation,""" Gas Energy Consumption Evaluation""@en"
https://w3id.org/platoon/GasEnergyConsumptionProperty,"""Gas Energy Consumption Property""@en"
https://w3id.org/platoon/GasEnergyEvaluation,""" Gas Energy Evaluation""@en"
https://w3id.org/platoon/HeatingElectricEnergyConsumptionEvaluation,"""Heating Electric Energy Consumption Evaluation""@en"
https://w3id.org/platoon/HeatingElectricEnergyConsumptionProperty,"""Heating Electric Energy Consumption Property""@en"
https://w3id.org/platoon/HeatingElectricEnergyLoadEvaluation,"""Heating Electric Energy Load Evaluation""@en"
https://w3id.org/platoon/HeatingElectricEnergyLoadProperty,"""Heating Electric Energy Load Property""@en"
https://w3id.org/platoon/HeatingGasEnergyConsumptionEvaluation,"""Heating Gas Energy Consumption Evaluation""@en"
https://w3id.org/platoon/HeatingGasEnergyConsumptionProperty,"""Heating Gas Energy Consumption Property""@en"
https://w3id.org/platoon/LoadProperty,"""Electric  Load Property""@en"
https://w3id.org/platoon/PhotovoltaicEnergyProductionEvaluation,"""Photovoltaic Energy Production Evaluation""@en"
https://w3id.org/platoon/PhotovoltaicEnergyProductionProperty,"""Photovoltaic Energy Production Property""@en"
https://w3id.org/platoon/PhysicalPowerEvaluation,"""Physical Power Evaluation""@en"
https://w3id.org/platoon/PhysicalPowerProperty,"""Physical Power Property""@en"
https://w3id.org/platoon/PowerConsumptionPatternEvaluation,"""Power Consumption Pattern Evaluation""@en"
https://w3id.org/platoon/PowerConsumptionPatternProperty,"""Power Consumption Pattern Property""@en"
https://w3id.org/platoon/PowerFactorEvaluation,"""Power Factor Evaluation""@en"
https://w3id.org/platoon/PowerFactorProperty,"""Power Factor Property""@en"
https://w3id.org/platoon/SolarEnergyEvaluation,"""Solar Energy Evaluation""@en"
https://w3id.org/platoon/SolarEnergyProperty,"""Solar Energy Property""@en"
https://w3id.org/platoon/StatusPowerCurveEvaluation,"""Status Power Curve Evaluation""@en"
https://w3id.org/platoon/StatusPowerCurveProperty,"""Status Power Curve Property""@en"
https://w3id.org/platoon/ThermalEnergyConsumptionEvaluation,"""Thermal Energy Consumption Evaluation""@en"
https://w3id.org/platoon/ThermalEnergyConsumptionProperty,"""Thermal Energy Consumption Property""@en"
https://w3id.org/platoon/ThermalEnergyLoadEvaluation,"""Thermal Energy Load Evaluation""@en"
https://w3id.org/platoon/ThermalEnergyLoadProperty,"""Thermal Energy Load Property""@en"
https://w3id.org/platoon/ThermalEnergyProperty,"""Thermal Energy Property""@en"
https://w3id.org/platoon/AssetUpgrade,"""Asset Upgrade""@en"
https://w3id.org/platoon/Calendar,"""Calendar""@en"
https://w3id.org/platoon/ComponentFaultStopEvent,"""Component Fault Stop Event""@en"
https://w3id.org/platoon/CoolingExecution,"""Cooling Execution""@en"
https://w3id.org/platoon/CoolingExecutionSchedule,"""Cooling Execution Schedule""@en"
https://w3id.org/platoon/CoolingSystem,"""Cooling System ""@en"
https://w3id.org/platoon/DemandResponseDerogationEvent,"""Demand Response Derogation Event""@en"
https://w3id.org/platoon/DemandResponseDerogationSchedule,"""Demand Response Derogation Schedule""@en"
https://w3id.org/platoon/ElectricityLoadDeviationAlert,"""Electricity Load Deviation Alert""@en"
https://w3id.org/platoon/Event,"""Event""@en"
https://w3id.org/platoon/ForecastOfLoadInterruptionEvent,"""Forecast Of Load Interruption Event""@en"
https://w3id.org/platoon/ForecastOfProductionLoadInterruptionEvent,"""Forecast Of Production Load Interruption Event""@en"
https://w3id.org/platoon/HVACOperationEvent,"""HVAC Operation Event""@en"
https://w3id.org/platoon/HVACOperationSchedule,"""HVAC Operation Schedule""@en"
https://w3id.org/platoon/HeatingExecution,"""Heating Execution""@en"
https://w3id.org/platoon/HeatingExecutionSchedule,"""Heating Execution Schedule""@en"
https://w3id.org/platoon/Holiday,"""Holiday""@en"
